"filename", "language", "Markdown", "Ini", "XML", "JSON", "Batch", "TypeScript", "JSON with Comments", "TypeScript JSX", "Properties", "Java", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/device/dto/DeviceCaregiverRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/device/dto/DeviceRegisterRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/device/dto/DeviceResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/device/dto/DeviceUpdateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/device/entity/Device.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 13, 44
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/device/exception/DeviceExceptions.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 13, 48
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/device/repository/DeviceRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 8, 26
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/device/service/DeviceService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 11, 54, 249
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/email/EmailConstants.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/email/EmailSendException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/email/EmailService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 12, 13, 103
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/email/EmailTemplates.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 7, 41, 282
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/email/StaticTemplates.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 958, 0, 0, 0, 22, 146, 1126
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/error/ApiError.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/error/ErrorHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 73, 435
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/error/GlobalErrorHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 9, 24
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/logging/config/AsyncConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
